bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
5,3.75,1.25,0.75,5,175
5,1.25,3,2.5,7.5,150
50,1.67,6.67,2,8.33,283.33
1.25,2.9,2.5,3.75,8.75,100
83.33,2,1.67,3.33,16.67,40
7.5,1.5,6.25,6.25,12.5,200
5,0.29,3.57,1.43,4,88.57
1.75,1.5,5,2.5,10,290
10,6,12,8.5,10,300
6.25,1.75,3,3,6.25,91.25
2,2.4,3,1,3.6,50
87.5,1.5,1.25,1.75,3,25
300,10,15,12.5,25,205.27
18.75,2.5,3.75,3.75,37.5,5
2,1,1,0.6,2,40
150,3.3,0.75,1.25,5,142.5
10,5,6,2,10,133.33
10,2,4,10,8.33,200
7.5,5,1.25,1.25,5,90
1.5,1,2.5,1,5,175
6.67,2.52,10,3.33,106.67,340
3.33,6.67,6.67,2,20,183.33
285,6.5,5,1.5,9.5,327.75
2,5,2.5,2.5,7.5,200
2.5,2.5,3.75,2.5,7.5,150
90,0.83,5,3.33,33.33,98.44
20,10,20,15,25,150
5,3.5,7.5,7,10,160
300,5,1.5,5,7.5,166.67
3.75,4.25,3.75,3.75,8.75,150
300,7.5,3.5,2.5,14,224
5,2.6,7,5,10,80
200,1,5,1.5,10,232.5
7.5,5,7.5,5,20,200
7.5,0.5,0.25,0.75,1,35
1,5,7,7.5,12.5,175
5,2.5,7.5,2.5,12.5,200
10,2.5,3.75,1.5,7.5,100
8.33,3.33,3.33,1.67,8.33,66.67
200,5.76,1.67,16.67,6.67,255
7.5,1.25,3.75,3.75,2,136.25
167.5,2,2,2.5,5,175
3.5,2,7.5,3,15,182.5
6.67,6.67,5,3.33,11.67,250
116.67,4,3.33,1,5,61.25
8.33,1.67,13.33,5,15,195
3.33,1.67,5,1.67,8.33,333.33
7.5,7.5,7.5,5,17.5,350
300,5,15,5,20,275
6.25,2.11,4.5,2.5,6,145
3.33,1.67,1.17,2.5,3.33,50
25,3.75,5,5,15,300
3.33,1.33,1.67,1,4.17,50
10,3.5,12.5,5,22.5,395
1.5,0.5,1.5,1,5,50
6.25,1.5,6.25,5,8.75,182.5
1,1,1,0.67,2.17,58.33
2.5,1.43,3.75,1.25,4.25,57.5
4,1,2,1,2,60
2.5,3.13,0.75,1.25,0.75,153.75
165.6,1.5,7.5,1,10,300
3,3,3.5,3,7,375
116.67,3.33,3.33,3.33,8.33,144.74
2.5,1.5,5,1.25,3.75,100
1.71,5,6,2,12.5,112.5
125,3,4.25,5,18.75,97.22
3.33,1.33,2.67,3.33,5,150
7.5,5,5,10,10,175
3.61,0.67,1.67,1.67,3.33,90
115,2,6,9,5,225.5
5,3,2.5,2.5,6.25,75
0.5,3.5,1,1.5,6,140
4,7.5,15,5,35,375
5,5,10,5,10,275
7.5,5,7.5,2.5,12.5,225
100,3.75,2.5,1.25,12.5,153.95
5,2.5,3.75,2.5,10,237.5
3,2.5,3.5,2,6,375
1.67,8.33,4,6.67,13.33,150
1.67,1.33,3.33,1.67,2,43.33
75,6,6,5,9,166.67
5,0.5,1.5,4,6.25,125
4,2,2,1.2,7,180
250,7.5,4.5,2.5,10,289.25
3.75,2.5,2.5,1,5,90
7.5,15,1.5,2.5,10,180
2,0.4,1.2,1,6,112
3.75,3.75,3.75,2.5,5,100
150,2.5,2.5,1.25,6.25,174.25
1.75,1.5,1.5,1,3.5,187.5
300,3.89,10,7.5,20,274.45
2.5,2.5,7.5,1.25,15,140
1.67,1,2.67,0.67,5,86.67
1.67,3.42,5,3.33,8.33,50
1.43,2.14,2.14,0.71,2.57,35.71
10,3.03,6.67,3.33,20,293.33
6,0.6,3,1.6,6,90
5,2.5,3,5,7.5,190
120,2.3,3,4,4,105
5,5,3.75,2,10,180
190,0.4,2.4,2,1,36
12.5,2.5,5,3,7.5,190
2,3,2.4,1,9.6,44
2.22,1.11,4.44,0.56,5.56,88.89
175,5,2.5,1.25,7.5,142
125,1.25,3.75,1.25,5,125
5,7.5,2.5,2.5,15,300
100,3.33,4,5,5,162.5
1.5,5,2.5,12.5,12.5,280
1.75,1.25,2.5,2.5,3.75,137.5
1.25,0.75,2.5,1.25,2.5,65
3.33,1.33,5,2,8.33,123.33
2,0.6,3,0.6,4,120
66.67,0.67,2.5,0.67,3.33,83.33
125,0.33,1.67,4.17,2.5,2
11.25,1.5,2.5,1.25,5,112.5
10,2.4,3.2,1,8,74
75,1.25,3,1.5,5,2.5
12.5,5,5,5,3.75,137.5
5,1,2.5,2.5,7.5,360
2.5,3.75,2.25,1.5,3.75,91.25
3.5,1.6,2,0.6,2,40
3.33,16.67,1.67,1.67,13.33,233.33
6.88,3.75,1.5,5,3.75,75
5.4,2.4,7.4,4.4,9,100
4,2,5,5,13.33,243.33
1.25,1.5,3,1.5,6.25,75
3.33,3.33,10,3.33,13.33,266.67
3.75,6.25,2.5,1.25,3.75,45
8.33,6.67,8.33,8.33,6.67,240
137.5,2.5,1.25,1.25,5,83.88
78.57,4.29,2.14,1.43,5.71,96.43
2.5,6.5,6.25,5,12.5,175
1,1.6,1,1.6,4,60
3.33,10,1.67,1.67,10,166.67
4.38,2.5,3,2.5,6.25,75
75.71,1.43,2.57,2.86,2.86,43.33
2.14,0.86,2.14,1.43,2.86,51.43
2.5,3.75,3.75,1.25,3.5,50
10,3.1,2.4,4,4,95
10,12.5,7.5,7.5,10,300
6.67,1.67,5,1.67,6.67,126.67
3,2.5,2.5,1.5,6,350
100,1,3,0.6,4,95
75,1.25,1.25,0.75,3.75,184.63
2,3,5,2,7,36.6
2.5,2.5,2.5,1.25,2.5,100
91.67,1.33,3,5,2.5,56.5
46.25,1.67,1.67,0.83,6.67,155
1.25,1.5,1.5,0.75,3.25,137.5
25,7.5,5,2.5,10,350
9.55,7.5,1,5,15,100
3.33,3.33,5,1,13.33,266.67
2,4,2,3,3,70
75,0.75,3.75,1.5,5,3.75
2.5,2.5,1.25,2.5,15,200
5,7.5,10,4,15,400
2,1.2,1.4,0.6,3,90
5,3.33,3.33,3.33,6.67,133.33
4,3,3.4,1.2,3.6,92
120,1,2,2,20,90.1
0.5,0.83,0.5,0.5,1.67,58.33
3.5,5,2.5,1.5,12.5,180
2.5,1.25,3.75,2,6.25,180
119.17,0.5,1.25,1.25,6.25,112.5
166.67,4,2.67,2,6.67,317.33
1.25,1.25,2.5,1.25,5,30
6,4,5,2,8,180
100,1.67,1.67,3.33,2.5,66.67
3.25,8.33,3.33,2.33,8.33,266.67
91.67,0.5,1.67,2.5,1.33,0.5
6.25,2.5,3.75,2.5,5,125
7.5,1.5,10,5,20,270
200,10,1,1,9,39
1,1,0.6,0.8,4,120
1.25,1.5,2.5,2.5,7.5,87.5
12.5,7.5,2.5,1.25,5,100
3.75,1.5,2.5,1.25,3.75,35
3,5,12,8,10,200
25,0.5,6.25,2.5,5,5
3.75,2.5,2.5,2.5,5,90
2,0.63,0.75,0.5,3.75,75
2.5,10,8.5,6,15,300
2,4,3,3,2,44
3.33,3.51,5,1.67,13.33,121.67
15,2.5,3.75,1.25,5,165
3.33,5,0.67,1.33,1.67,46.67
100,0.6,3,1,3,63.33
62.5,1.25,1.25,1.25,2.5,1.25
4,2,3,1,3,70
4.17,1.59,3,1.67,4.33,100
2.5,10,15,7.5,30,300
1.63,3.5,5,5,6.25,150
80,1,1.67,1.67,5,132.35
200,6.17,5,10,10,156.67
6.67,2.72,5.67,2,6.67,153.33
125,1,2.5,2.5,5,5
3.57,0.71,0.86,0.71,2.86,51.43
66.67,1.11,1.67,1.11,2.22,5.56
10,2,16,4,10,100
6,1.47,4,7,4.8,176
10,1.6,3,1.2,5,24
3.75,1.63,7.5,3.75,10,92.5
3.33,1.67,1,1.67,6.67,100
1.82,2,4,2,4,100
1.33,2.24,2.67,1.33,2.67,60
5,5,6.67,2.67,13.33,200
5,2,3,4,7.5,110
1,1,2.5,0.75,7.5,95
2.5,7.5,7.5,5,12.5,187.5
75,0.5,1.5,1.75,3,5
1.2,0.8,1,0.4,1.4,70
2.5,0.75,1.25,2.5,3.75,150
2.14,0.71,0.86,1.43,2.86,71.43
5,3.33,6.67,6.67,10,133.33
6.25,2.5,2.5,2.5,2.5,80
0.4,3,3,1.2,14,80
5,3,3,2,6,70
4,0.4,2,0.8,3,140
2.5,2.5,1.25,1.25,7.5,175
7.5,5,7.5,5,10,170
2,2,4,2,6,300
7.5,5,7.5,10,30,350
3.33,1.67,1.67,1,3.33,83.33
2.4,1,1,0.8,5,124
5,2.5,6.25,3.5,9,92.5
133.33,6.67,8.33,5,10,259.26
1,2.6,2.6,2,7,80
3.75,5,7.5,6.25,10,150
1.25,0.5,1.25,1.25,5,87.5
1.67,1.67,3.33,1.67,6.67,66.67
250,5,3,5,10,636
72,2,2,4,10,46
1.67,1,1.67,1.67,3.33,200
175,12.5,7.5,5,10,347.22
1.25,12.5,2.5,5,12.5,250
275,5,12,11,12.5,3.25
5,1,4,0.33,5,125
1,1,3,1,2,56
3.33,4.67,0.67,3.33,8.33,126.67
150,1.25,1.25,3.75,25,40.1
0.75,0.5,2.5,0.75,5,87.5
100,4,2,1,4,85
125,2.5,7.5,2.5,8.75,5
75,0.56,0.83,0.83,2.67,1.67
1.67,1.67,1.67,2.67,5,66.67
10,10,10,5,20,360
5,5,7.5,2.5,15,350
230,15,6,5,12.5,256.25
110,1.4,5,5.4,3.8,0.8
20,10,10,5,15,400
0.8,0.6,1.2,1,2,22
10,2.85,7.5,5,14,280
2.5,8,7.5,5,15,200
1.29,1.71,2.14,2.14,3.57,107.14
437.5,7.5,5,2.5,7.5,65
0.4,2,1.6,0.8,4,60
3,1,3,3,10,100
400,1.5,4,7.5,7.5,15
150,3.64,2.5,5,5,7.5
140,4.5,9,3,11.25,116.88
1,1.25,1,1.5,3.75,45
5,2,3,1.5,7.5,75
0.75,1.25,2.5,1,3.75,62.5
180,1.25,0.5,1.25,0.5,94.45
3.33,1,2,1.33,5,93.33
0.6,1,1,1,3,22
2,0.4,2,0.4,2,72
300,2.5,10,1.5,12.5,125
6.67,3.33,6.67,2.67,6.67,133.33
10,10,12,5,15,360
4,1.5,9.6,4,9,117
1.67,1.67,1.67,1.67,3.33,100
8,3,4,2,8,120
75,1,2,2.5,2.5,3.75
6,1,2,4,6,100
0.29,0.29,0.57,0.57,1.43,25.71
3.33,5,5,3.33,6.67,230
100,0.4,1.2,4,5,17.33
2.86,2.14,2.14,0.86,5,78.57
3,3,3,2,10,140
12,7,3,2,10,365
5,0.4,0.4,0.4,2,36
100,0.57,2.14,0.71,3.57,92.86
2.5,1.5,3,1.67,3.33,55
150,6.25,2.5,5,2.5,41.25
5,2.95,3.6,2,4.8,116
150,0.5,6.25,1,7.5,3.75
37.5,2,4.5,9.5,10,182.5
10,10,3.33,3.33,5,120
15,50,10,1,30,400
7.5,3.47,5,3.75,16.25,200
3.33,1.33,1.33,1.33,3.33,266.67
3.57,4.29,2.86,2.14,4.29,128.57
120.83,1.67,2,5,10.83,120
13.33,5,5,1,5,120
3.33,3.33,10,3.33,20,266.67
90,7.5,2.5,4,5,71.5
2.86,2.86,2.14,1.14,5,71.43
6.67,0.67,2.33,1.67,10,123.33
1,1,2,3,7,76
4.29,0.57,1.43,4.29,3.57,100
12.5,7.5,3,10,15,275
3.33,6.67,3.33,1.67,8.33,266.67
3.33,0.67,2.5,0.5,3.33,66.67
200,7.5,2.5,1.75,7.5,166
225,7.5,15,5,20,189.21
3.33,1,3.33,0.67,6.67,150
8.33,2.19,6,3.33,10,233.33
3.44,0.5,1.25,1.25,5,125
150,3.33,5,3.33,6.67,33.33
5,1.67,2.5,3.33,5,83.33
300,3.75,20,15,40,175.75
6.67,8.33,3.33,5,10,333.33
17.5,2.5,5,2.5,12.5,280
10,2.5,5,5,12.5,360
41.67,1.17,0.83,0.67,2.5,83.5
250,2.5,5,5,5,133.84
5,2.5,7.5,7.5,10,200
15,10,7.5,2.5,10,400
2.5,1.67,1.67,1.67,5,66.67
5,1.5,1.5,2.5,12.5,90
100,0.83,2.5,2.83,10,50.33
7.5,10,7.5,10,20,225
150,5,6,7.5,7.5,272.22
4.17,2.92,2.5,5,3.33,91.33
3.75,3.75,2.5,2.5,2.5,180
62.5,2.5,5,1.75,6.25,10
1,2,0.6,0.4,2,36.4
1,0.6,1,1.2,2,40
3.33,1,6.67,1,10,166.67
132.5,1,0.5,2.5,6,168.75
108.33,0.83,0.83,1.67,0.83,60
233.33,6.67,4,2,10,189.67
2,1,1,1,6,120
100,2.12,1.6,1,6,95.56
1.75,1.25,2,3,7.5,95
3,1,4,3,8,144
5,2.5,3.75,2.5,5,175
1.5,1,1.5,2.5,10,47.5
200,1,2.67,2.67,5,122
7.5,6,5,7.5,20,200
200,0.88,7.5,1.75,6.5,6.75
8.33,3.33,13.33,8.33,16.67,166.67
0.25,0.5,1,1,1.25,45
7.5,40,5,10,17.5,250
25,6,7.5,5,17.5,225
5,10,10,5,12.5,200
10,3,5,5,10,200
200,8.33,6.67,16.67,23.33,87.5
2.5,3.75,1.5,2.5,7.5,187.5
3.33,1.67,3.33,1.67,5,83.33
125,0.75,1.25,2.5,3.75,2.5
10,1.5,5,2.5,6,105
100,1.17,4.17,3.33,3.33,14.27
2,1.25,2.5,1.25,3.75,82.5
1.67,3.33,3.33,5,5,120
60,1.67,1.67,3.33,5,257.89
3,4.8,1,1.2,4,120
3.33,3.33,10,1.67,10,200
6,1.2,2,4,12,120
16.67,0.67,1,1.33,8.33,116.67
4.03,3.82,5.25,2.5,7,152.5
150,1.25,2,2,3.75,75.63
76,0.8,3,0.8,4,60
0.33,0.5,0.67,0.33,1.17,30
10,3.33,6.67,1.67,13.33,266.67
4,3,3,2,6,140
41,6,5,2,5,120
6.67,1,3.33,1,6.67,216.67
1.43,0.71,1.43,0.71,1.71,51.43
6,2.48,4,3,8,160
3.5,2,9,9,14,210
2.5,15,10,5,15,300
5,5,6.67,5,10,273.33
120,20,3,2,10,172.5
1.67,0.33,2.5,0.5,5,58.33
0.5,0.83,0.83,0.5,1.67,25
6.67,3.33,6.67,5,10,166.67
120,3,2,1,4,56.6
5,1,7.5,5,10,200
83.33,1.67,2.5,1.33,5,4.45
5,1.5,2.5,5,15,150
1.2,0.4,1.2,0.2,1.2,100
1.25,1.25,1.25,0.5,2.5,50
1.67,3.33,8.33,5,11.67,133.33
1,1.25,0.75,1.5,2.5,25
5,3,1.2,2,5,80
2,2,2,2,8,60
100,10,3.33,6.67,10,113.67
8.33,4.27,6,3.33,8,126.67
75,3.75,2.5,2.5,5,55.53
1.75,1,3,1.25,3.75,90
4.29,2.86,2.86,1.43,5.71,157.14
146,1.4,2.8,2.4,2.4,36.27
0.29,0.43,0.71,1.43,3.57,77.14
25,3.5,4,10,5,350
37.5,1.25,2.5,1.25,2.5,165.44
2.5,0.75,3.75,1,3.75,100
133.33,4.24,5,5,6.67,180
0.63,1.88,0.25,0.5,1.25,17.5
4.5,1.5,2,6.25,7.5,125
75,1.81,1.25,5,5,127.78
125,0.5,3.75,1.5,6.25,97.5
1,0.6,2,1,6,36
4,1,3,0.6,5,90
6.25,1.25,3.75,3.75,6.25,125
10,5,5,5,10,150
4,1.6,2.4,5,6,120
5,1.67,2,1.67,8.33,50
7.5,2.5,6,5,15,350
6.67,5,1.67,3.33,8.33,316.67
150,0.75,2,2.5,3.75,12.5
150,2.5,1.67,5,21.67,40.21
5,2.5,2.5,2.5,15,280
2.5,1.33,1.67,1.17,5,50
0.71,0.71,2.14,1.43,2.14,62.86
300,2.81,10,3.13,7.5,57.81
110,1,4,0.6,5,65
83.33,2.27,3.33,3.33,8.33,133.33
4,2,4,1,6,116
150,0.5,1.5,1.75,3.75,70
110,2,2,2,2,75
1.63,0.63,1,1,3,18.75
100,2.5,3.75,2.5,5,12.5
1.25,1.25,2.5,1.25,5,75
0.71,2.14,0.29,1.43,2.14,42.86
162.5,5,2.5,0.75,6.25,148.7
3,2.9,8,3,8,110
2.45,2.4,4,4,5,96
3.75,0.75,2,1,5,135
16.67,5.33,5,2,10,133.33
7.73,5,7,7.5,7.5,200
5,2.25,5,3,7.5,325
6.67,3.33,10,3.33,13.33,266.67
6.25,1.88,7.5,3,7.5,180
100,3.05,1.67,5,5,117.5
2.5,4,4.8,4,20,120
375,12.5,7.5,7.5,20,106.25
5,1.6,1.2,1,5,144
1.67,0.5,1.33,0.33,2.5,58.33
1.5,3,4,2.5,3,90
1.5,1.5,3,4,8,76
10,1.25,3,6,3,90
7.5,1.25,2.5,1.25,5,75
3,6,15,10,30,250
0.75,2.5,2.5,0.75,7.5,75
12.5,4,3.75,2,8.75,100
3.33,0.83,5,3.33,6.67,43.33
166.67,1.1,1.17,0.83,3.33,40
116.67,3.33,2.67,1.67,11.67,195.33
3.33,1.67,6.67,4.17,8.33,66.67
4,10,2.4,1.2,5,90
2.14,1.43,1.43,2.86,4.29,78.57
212.5,0.75,2.5,3.75,3.75,2.5
92.86,2.5,5,5,50,100
4,1.6,3,1.2,10,140
1.25,0.75,1.75,0.75,4.5,36.5
3.75,2,5,2.5,7.5,75
16.67,3.83,3.33,5,15,150
2,2.5,2,1,4,150
6,6,3,2,8,200
150,1.5,4,5,7.5,5
200,3.33,6.67,10,16.67,6.67
500,10,12.5,7.5,15,12.5
6.5,0.4,0.8,0.8,2,50
100,5,8.75,3.75,10,237.5
3.33,1.67,5,2.67,10,120
5,0.75,3.75,1.25,5,175
3.75,1.25,2.5,1.75,5,92.5
150,3.5,6.25,7.5,7.5,132.5
15,3,5,2.5,12.5,200
10,2.5,17.5,2.5,20,250
166.67,8.33,10,10,16.67,131.93
150,8.75,6.25,2.5,20,152.5
5,5,5,3.33,6.67,60
3,0.6,2,0.8,4,90
200,2,8.33,16.67,16.67,151.67
116.67,5,1.33,1.33,4.67,104.33
5,0.5,1.25,1.25,2.5,45
6.67,3.33,8.33,3.33,16.67,183.33
12.5,2.5,3.75,2.5,5,112.5
0.6,1,2,1,2,80
60,0.4,2.4,1,3,10
2.5,1.57,6.25,2.5,10,92.5
100,1.25,2.5,2,2.5,2.5
1.67,1.33,3.33,1.33,13.33,250
5,3.75,5,5,5,100
1.67,0.5,3.33,0.83,5,75
300,2.5,5,10,60,180.34
0.91,0.43,1.82,1.82,4.55,36.36
200,1.67,1.67,3.33,30,33.61
50,2.02,3.57,0.71,4,53.07
0.5,0.5,1.25,0.5,1.75,37.5
2.5,3.75,2.5,1.25,6.25,150
1,1,1.67,1,3.33,50
7.5,1.25,2.5,5,7.5,112.5
100,1.33,3.33,1.67,6.67,66.67
141.67,1,3.33,1,6.67,100
1,2,1,0.4,2,28
0.5,0.5,1.25,0.75,5,123.75
2.5,5,6,3,6,180
2.5,5,2.5,1.5,15,300
3.33,5,3.33,3.33,6.67,250
3,1.2,8,3,8,116.8
5,5,5,2.5,10,350
2.78,1.44,2.22,0.56,1.67,84.44
0.6,0.9,1.6,0.8,2,70
2.5,2,3.33,1.33,4.17,125
25.6,0.4,1,0.6,3,36
12.5,2.5,10,10,10,465
0.75,0.25,3.75,0.25,5,135
1.25,0.75,4.25,0.75,6.25,50
15,7.5,7.5,3,15,200
4.17,1,5,1.17,5.33,118.33
56.2,1,5,2.5,7.5,250
3.57,0.43,0.71,0.86,2.14,51.43
83.33,0.56,1.11,1.11,1.67,80.22
10,10,15,10,15,350
8.33,3.33,5,1.67,8.33,116.67
10,1,2.5,7.5,5,200
8.33,1.67,3.33,2.5,10,116.67
1,3,1.67,1.67,3.33,42
1.67,1,1.33,1.17,3.33,50
110,1.2,4.8,4,6,65.2
13.75,0.75,0.75,2.5,3.75,180
1,1.33,3.33,2,4.17,60
4,0.8,4,0.8,5,140
4,4,3.6,3,7,150
7.5,2.5,2.5,2,10,180
200,8.33,12.67,3.33,16.67,10
0.75,1.25,1.25,3.75,6.25,97.5
8.33,3.33,3.33,1.67,6.67,116.67
2.5,5.5,6.25,5,12.5,175
325,10,24,2.5,30,100.5
5,5,3,7.5,12.5,250
100,2,1.67,1.67,10,120.83
2.5,1,5,1.5,8.25,65
2,1,1,1,4,140
10,5.5,9,15,11,274
5,5,5,5,15,120
12.5,5,3.75,2.5,5,100
150,0.6,1,1.4,6,40
2,1,2,2,2,80
5,2.5,17.5,7.5,22.5,275
1.25,1.25,1.5,1.5,5,50
1.67,0.67,0.83,1,3.33,90
2.5,1.25,2,2.5,5,87.5
3.33,1.67,2.5,1.67,3.33,83.33
275,7.5,3.5,1.5,7.5,255
3,3,4,3,6,108
0.4,1.2,1.2,1.2,5.6,40
2,1,7.5,3.5,7.5,195
100,0.83,1.33,2,2.5,4.17
5,2.5,5,15,20,250
0.71,0.43,0.71,0.71,2.14,25.71
83.33,0.83,1.33,3.33,3.33,1.79
1.25,1,1.25,4,5,175
2.5,1.67,1.17,1.67,1.67,36.67
162.5,2.5,2.5,0.75,6.25,104.13
4,0.6,8,1,8,148
3.33,0.67,2.5,0.83,4.17,116.67
171.43,1.2,0.71,1.07,3.57,52.38
2,0.6,1,0.6,8,40
70,1,2,2,10,6
1.5,2,7.5,3.5,10,165
2,2.33,1.67,1.67,4.67,200
240,5,3.6,3,5,73.33
2.5,1,1,1,3.75,75
1.25,0.75,2.5,1.25,3.75,100
0.5,0.63,0.63,0.5,1.25,45
66.67,0.67,1.67,2.67,5,1
1,2.83,3,3.33,8.33,63.33
85.71,0.59,7.14,2.86,5.71,57.94
100,7.5,10,5,10,418.42
6,2,5,2,6,120
50,0.67,2,1,2.5,1.11
5,1,2.5,0.83,5,50
2.5,1.33,1.17,1.67,2.5,105
5,3.75,5,2.5,10,187.5
6.25,1.25,15,2.5,10,175
7.5,3.75,12.5,7.5,12.5,112.5
12.5,7.5,5,7.5,10,62.5
1.67,6.67,4,3.33,8.33,116.67
5,5,3.75,5,5,150
5.71,1.14,2.14,1,4.29,71.43
7.5,1,3.75,1.25,5,137.5
15,2.5,5,2.5,5,200
180,4,3,2,6,114.5
75,0.75,3.75,0.75,5,142
10,7.5,7.5,2.5,12.5,175
1.25,5.13,3.75,2.5,7.5,125
71.88,1.25,2.5,4,5,200
4.17,2.5,1.67,1.33,5.83,91.67
100,1,3,1,5,31.5
183.33,3.33,10,7.33,6,1.67
3.75,5,1.75,1.25,4.5,228
2,1.6,2.4,4.6,3.6,73
150,16.92,6.25,1.25,6.25,2.25
133.33,6.67,8.33,6.67,10,294.74
100,0.6,3,5,16,40.6
1.25,0.5,1.88,1.88,5,97.5
15,5,12.5,7.5,15,200
5,3.75,2.5,1.5,8.75,150
10,5,7.5,4,10,240
6,5,3,4,6,90
208.33,1.67,5,4,6.67,3.33
1,0.75,2.5,2.5,5,30
2,0.8,0.8,1.2,3,50
5,1.67,2.5,1,5,66.67
1.25,3.75,7.5,1.5,15,125
2,3,3,3,5,114
110,3,1.6,0.8,4,106.2
0.2,0.4,2,1,6,70
3.13,4.38,1.25,0.63,3.75,91.25
3.33,2.5,1.33,0.83,5,76.67
6.67,3.33,5,1.67,6.67,53.33
200,2.5,5,5,7.5,150.74
0.83,0.67,0.5,0.5,1.33,63.33
136,5,2,1,6,44.2
1.67,0.67,3.33,1,6.67,66.67
300,8.33,5,3.33,10,125.33
6.67,3.33,10,3.33,10,266.67
9,2.5,7.5,10,12.5,550
175,1.67,2.5,5,2.5,11.25
3.75,1,1.5,5,7.5,150
216.67,6.67,3.33,1.67,6.67,187.87
4.17,1.39,3,1.67,5,116.67
66.67,10,2.67,2.67,5,164.44
375,20,8.75,5,15,141.5
3.33,2,6.67,1.67,10,166.67
6,2,4,2,12,120
2.25,0.9,0.6,0.4,2,60
62.5,1.25,1.25,1.25,5,106.58
3,0.8,3,4,3.6,52
175,2.5,7.5,2.5,8.75,128.68
42.86,0.86,0.43,2.57,5.14,46.64
1.25,0.75,2,1.25,2.5,65
175,5,3,1.25,6.25,101
75,5,1,1,7.5,91.95
2.5,1.25,2.5,5,12.5,137.5
2.5,3.33,4.17,2.5,5,125
7.5,1,2.5,1.5,5,150
6.67,5,5,2.67,10,166.67
2.86,0.5,3.71,2.14,5,85.71
1.36,2.5,4.5,1.67,5,83.33
180,0.4,6,1.6,6,82
44,5,2,4,7,100
40,0.4,1,2,1.6,108.8
6,4,3,4,4,108
1.67,3.33,1.67,1.67,3.33,28.33
1.5,5,5,2,20,200
233.33,1.67,6.67,16.67,20,103.7
2,12.5,15,10,25,290
7.5,1.88,1.25,5,2.5,50
2,1,2,3,6,148
116.67,3.07,1.67,6.67,10,177
0.4,1,3,1,4,80
250,2.5,10,2.5,12.5,215
2.14,1.43,0.71,2.14,5,62.86
1.5,0.61,1.13,0.63,2.25,28.75
2.5,1.25,9,2.5,10,100
2,1.6,10,1,12,160
6.67,1.67,2.5,1.67,5,61.67
100,5,1,1,3.33,101.11
0.92,0.75,0.75,0.75,3.75,50
5,1,2,1,6,140
2.5,0.4,3,2.6,0.4,8
6,1,3,2.6,10,140
6,2,2,4,10,80
3,1,2,2,5,112
80,2,1,1,4,130
5,1.5,2.5,2.5,5,150
12.5,6.25,3,1.25,7.5,187.5
172.38,25,15,8.33,33.33,300
100,4,10,4,4,4
5,2.5,5,2.5,5,120
66.67,1.67,0.83,0.83,8.33,8.17
1.88,1.25,3.13,1.88,4.38,186
70,2,2,1,4,64.42
2,2,3,2,3,66
5,5,3.33,1.67,6.67,116.67
400,13.33,3.33,5,15,85.61
200,3.33,5,1.67,10,102.11
8,0.4,0.8,4,2.4,112
3.6,1,5,1.4,4,60
0.83,0.33,1.67,1.67,5.83,125
5,2.5,7.5,2.5,7.5,150
216.67,0.67,1.67,1,6.67,100
58.33,1.08,1.67,2.5,1.67,13.53
10,0.67,2,5.33,5,133.33
2.5,5,12.5,7.5,25,250
1.25,0.5,5,3.25,3.75,187.5
0.88,1.88,1.88,1.25,6.25,75
64.29,0.57,2.14,0.57,2.14,94.29
2.5,1.5,15,2.5,12.5,175
1.67,2,3.33,1.67,5,36.67
1.25,4.15,5,3.75,11.25,125
5,3.75,3.75,1.25,5,91.25
0.4,1,0.6,1,4,60
8,0.6,3,2.8,5,110
1.67,0.67,1.33,1,5.67,116.67
3,1.35,4,1.4,5.6,112
1.67,1.33,1.33,1,1,126.67
3.75,1.25,3.75,1.75,5,100
8.33,3,5,3.33,5,183.33
1.25,3,3.75,3.75,8.75,125
8.33,10,2.5,0.83,5,150
2.5,12.5,7.5,10,10,190
45,1.25,1.25,2,3,2.33
6.25,2.76,4,5,4.5,91.25
300,5,12.5,2,15,10
57.14,4.29,3.57,4.29,3.57,54.14
2,1,4,1,8,120
0.83,0.67,3.33,1.67,8.33,91.67
5,0.75,2,0.75,2.5,50
550,16,20,25,7,50.5
166.67,2.48,1.67,1.67,2.5,102.5
400,2,2.5,2.5,25,135
3.33,3.27,4.33,9.33,5,98.33
125,5,10,7.5,10,145
12.5,5,4,1,7.5,150
5,4,5,7.5,7.5,125
8,2,4,1.2,6,72
5.83,1.67,0.83,0.5,4.17,83.33
90,2.5,2.5,1.25,12.5,118.75
166.67,8.33,3.33,1.67,3.33,15
75,1.25,1.25,2.5,5,153.95
2.5,11.25,1.25,0.63,6.25,137.5
7.5,1.5,2,4,12.5,212.5
2,1,2,1,3,30
3.5,1.5,3,1.5,5,75
300,3.33,3.33,3.33,13.33,222.81
5,2.5,5,1.25,7.5,200
2,2,3,5,3,72
5,2.5,4.17,1.67,5.83,91.67
37.5,1.25,1.88,1.25,1.88,5
2.5,1.5,1.5,2.5,40,450
300,7.5,5,4,10,331.58
3.75,0.75,2.5,0.75,3.75,100
2,3,3,1,4,144
6.25,3.75,5,2.5,7.5,87.5
2,2.5,1,1,2,50
2,1,1.33,3.33,5,266.67
6,2,6,2,8,160
50,0.6,1.67,3.33,5,66.33
1.67,1.67,1.67,1.67,3.33,66.67
