bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
6,1.2,3,1.2,6,70
120,3,4,4.4,4.4,49.38
3.5,1.2,1.6,0.4,3.2,30
66.67,0.5,1.67,0.5,4.17,2.71
3.33,1.33,6,2,13.33,183.33
8.33,0.83,3.33,0.83,3.33,116.67
325,25,25,25,25,150
150,2.45,3,1.25,6,120
5,5.28,7.5,2.5,9,125
3,0.8,1.4,1.4,3,72
10,3,9,7.5,13,400
150,2.36,6.25,1.25,6.25,3.75
3.75,2.5,3.75,5,8.75,112.5
10,5.35,5,10,6,158.33
6,3.37,5.6,2,7.2,147
1.25,1.25,2.5,3,8.75,162.5
2,0.88,1.25,2,5,75
3.75,1.25,1.25,1,3.75,105
3.57,0.86,2.86,2.14,4.29,128.57
100,1,3,1,5,40
4.17,2.5,3.33,1,5,83.33
3.75,3,1.25,1.5,4.5,55
0.43,1.43,1.43,0.43,4.29,35.71
8,4,2,3,6,70
3.75,1,5,1.5,2.5,285
5,1.67,5,8.33,13.33,266.67
150,0.75,2.5,1,5,112.5
4.17,1.67,2.33,1.67,10,256.67
3.33,3.33,1.67,3.33,5,83.33
7,10,10,10,25,360
300,4.75,2.5,2.5,12.5,211.11
3,3,8,3,10,180
4.25,1.5,2.5,2.5,5,55
2.5,1.25,2.5,1.75,3.75,30
150,0.75,1.5,3.75,3.75,1.5
120,1.4,3.6,4,4,33.25
180,1.52,7,6,6,98.6
125,3.75,1.5,1.25,3.75,114.25
100,2.5,1.25,2.5,2.5,50
2,1,2,1,7,80
3.33,5.33,6.67,5,10,200
6.67,3.33,8.33,3.33,6.67,220
100,2.5,7.5,15,12.5,275
3,1.6,2,0.6,3.2,56
133.33,1.33,3.33,3.33,5,118.33
3.33,5,3.33,1.67,10,200
2.5,1.25,3.75,1.25,6.25,170
100,7.28,2.5,2.5,5,315
3.33,1,1.33,1.33,5,130
2.5,0.5,0.75,0.75,3.75,125
