CountryID,Country Name,Abbr,Region,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Tax Burden perc of GDP,GDP Growth Rate,Unemployment
133,Portugal,PRT,Europe,73.3,68.9,59,59.8,32.1,86.4,43.4,85.9,87,70,60,1.5,48,21,34.4,1.5,12.1
134,Qatar,QAT,Middle East / North Africa,74.8,63,59,99.6,97.4,68.1,65.4,80.6,83.1,55,60,3.4,0,0,6.3,3.3,0.2
135,Romania,ROU,Europe,63.9,58.5,45.9,87.4,90.9,65.9,62.5,83.6,87,75,50,1.5,16,16,27.4,3.7,6.9
136,Russia,RUS,Europe,47.6,44.5,38.2,81.8,93.4,74.8,50.8,57.3,75.2,30,30,4.9,13,20,35.3,-3.7,5.8
137,Rwanda,RWA,Sub-Saharan Africa,64.4,68.8,45.9,79.8,83.3,59,81.8,80,70.3,60,40,7.4,30,30,14.9,6.9,2.4
138,Saint. Lucia,LCA,Americas,65.5,68.8,39.6,76.4,53.8,77.2,68.7,82.3,71.6,65,40,9.2,30,30,23.7,1.6,20.1
139,Saint. Vincent and the Grenadines,VCT,Americas,37.3,68.8,47.6,72.8,66.7,80.3,74.5,82.9,65.2,75,40,12.4,32.5,32.5,23.9,1.6,20
140,Samoa,WSM,Asia-Pacific,51.3,22.6,37.1,80.4,66.6,77,73.3,84.5,70.7,55,30,9.7,27,27,22.4,1.7,5.8
141,São Tomé and Príncipe,STP,Sub-Saharan Africa,37.7,15.9,39.7,87.8,67.1,65,47.2,69.6,71.8,65,30,9.1,20,25,14.1,4,14
142,Saudi Arabia,SAU,Middle East / North Africa,62,65,45.9,99.7,65.7,73.8,68.5,70.1,78.2,40,50,3.4,2.5,2.5,4.6,3.4,5.8
143,Senegal,SEN,Sub-Saharan Africa,44,39.3,42.1,70.9,51.8,50.8,38.9,86,73.1,60,40,8.5,40,30,20.2,6.5,9.3
144,Serbia,SRB,Europe,50.3,40.2,38.2,83.3,46.9,62.9,65.9,80.8,77.8,70,50,6.1,15,15,35,0.7,19
145,Seychelles,SYC,Sub-Saharan Africa,55.2,42.6,44.3,78.8,90.7,63.4,55.9,78.3,83.4,55,30,3.3,15,33,28.4,4.4,
146,Sierra Leone,SLE,Sub-Saharan Africa,37.4,27,18.9,81.3,76.2,49.6,29.7,71.1,69.4,60,20,10.3,30,30,8.3,-21.5,3.4
147,Singapore,SGP,Asia-Pacific,97.1,91.5,87.9,90.5,80.7,95.1,90.8,84.3,90,85,80,0,22,17,13.4,2,3.3
148,Slovak Republic,SVK,Europe,69,38,39.6,79.7,82.9,64.9,54.4,81.1,87,75,70,1.5,25,21,31,3.6,11.3
149,Slovenia,SVN,Europe,75,55.1,53.6,58.7,6.1,80.6,60.2,85.3,87,70,50,1.5,50,17,36.6,2.9,9.3
150,Solomon Islands,SLB,Asia-Pacific,39.3,41.9,33.9,62.8,99.8,68.5,70.5,81,83,15,30,8.5,40,30,35,3.3,34.8
151,South Africa,ZAF,Sub-Saharan Africa,67.6,59.7,47.6,70.2,70,62,58.9,75.8,77.3,40,50,3.9,41,28,22.6,1.3,25.1
152,Spain,ESP,Europe,71.2,53.9,57.2,62.5,26.9,66.9,55.3,85.5,87,85,70,1.5,45,25,33.2,3.2,21.9
